,company id,company name,industy 1,industy 2,industy 3,industy 4,industy 5,industy 6
287,11666,IMAX,Consumer,Entertainment & Gaming,,,,
288,317,Dolby,Consumer,Tech,,,,
289,57,AOL,,,,,,
290,1394,"SoundHound, Inc.",,,,,,
291,11814,Foundermade,Consumer,Fashion and Beauty,Food & Beverage,Media,,
292,11744,PAX Labs,Engineering,Social Good,Tech,,,
293,1297,Samsung NEXT,,,,,,
294,11,Airbnb,,,,,,
295,1452,Affirm,Finance,Tech,,,,
296,11639,Wounded Warrior Project,,,,,,
297,11784,VMware Carbon Black,Engineering,Tech,,,,
298,11650,Liberty Mutual,Client Services,Consumer,Finance,Insurance,Tech,
299,1619,84.51°,Advertising and Agencies,Client Services,Consulting,Tech,,
300,11767,CB Insights,,,,,,
301,1202,Zynga,Engineering,Entertainment & Gaming,Media,Tech,,
302,11764,Axios,Media,Tech,,,,
303,1184,CBS Interactive,Media,Tech,,,,
304,11742,Stride Consulting,Consulting,Tech,,,,
305,11698,Access Intelligence,Media,Tech,,,,
306,11716,Stryker,Engineering,Healthcare,Tech,,,
307,1142,MealPal,Food & Beverage,Tech,,,,
308,11635,Klaviyo,Advertising and Agencies,Client Services,,,,
309,560,Rakuten Americas,Consumer,Tech,,,,
310,1283,Kaleidoscope,,,,,,
311,1078,PM3 Agency,,,,,,
312,604,HealthcareSource,Client Services,Healthcare,Tech,,,
313,1326,HCSC,Client Services,Healthcare,Tech,,,
314,380,Sir Kensington's,,,,,,
315,894,Yext,,,,,,
316,702,Broadridge,,,,,,
317,628,Slack,,,,,,
318,804,Storyblocks,,,,,,
319,1292,Hudson River Trading,Finance,Tech,,,,
320,1086,Better,Consumer,Finance,Real Estate & Construction,Tech,,
321,1240,Federal Bureau of Investigation (FBI),Government,Law,,,,
322,954,GSK,Consumer,Healthcare,,,,
323,61,Uber,,,,,,
324,711,Johns Hopkins Applied Physics Laboratory,,,,,,
325,645,Launchmetrics,Fashion and Beauty,Tech,,,,
326,686,First Look Media,Entertainment & Gaming,Media,Tech,,,
327,1095,NextCapital,Finance,Tech,,,,
328,1068,Unilever,,,,,,
