,company id,industry 1,industry 2,industry 3,industry 4,industry 5,industry 6
253,11646,Finance,Tech,,,,
254,1420,Healthcare,Social Good,,,,
255,11808,Client Services,Consumer,Finance,Social Good,,
256,11869,Advertising and Agencies,Tech,,,,
257,11819,,,,,,
258,895,Finance,Tech,,,,
259,11821,,,,,,
260,1612,Social Good,Tech,,,,
261,11979,,,,,,
262,11876,Finance,Tech,,,,
263,1239,Advertising and Agencies,Media,Tech,,,
264,1626,,,,,,
265,11886,Advertising and Agencies,Social Media,Tech,,,
266,1347,,,,,,
267,11815,,,,,,
268,11902,,,,,,
269,11879,Client Services,Consumer,Engineering,Finance,Tech,Travel and Hospitality
270,705,,,,,,
271,1409,Client Services,Finance,,,,
272,281,Client Services,Tech,,,,
273,404,,,,,,
274,1485,,,,,,
275,1444,,,,,,
276,11832,,,,,,
277,11781,Finance,Tech,,,,
278,566,,,,,,
279,11830,Client Services,Finance,Tech,,,
280,862,,,,,,
281,11757,Fashion and Beauty,Real Estate & Construction,Tech,,,
282,897,Consumer,Tech,,,,
283,1461,Consumer,Manufacturing,,,,
284,1268,Entertainment & Gaming,Media,Tech,,,
285,11676,Consumer,Engineering,Social Media,Tech,,
286,11896,Consumer,Engineering,Media,,,
287,1063,,,,,,
288,11731,Engineering,Finance,,,,
289,303,Consumer,Food & Beverage,Tech,,,
290,11749,Consulting,Engineering,Government,Manufacturing,Tech,
291,11666,Consumer,Entertainment & Gaming,,,,
292,317,Consumer,Tech,,,,
293,57,,,,,,
294,1394,,,,,,
295,11814,Consumer,Fashion and Beauty,Food & Beverage,Media,,
296,11744,Engineering,Social Good,Tech,,,
297,11,,,,,,
298,1452,Finance,Tech,,,,
299,11784,Engineering,Tech,,,,
300,11650,Client Services,Consumer,Finance,Insurance,Tech,
301,1297,,,,,,
302,1619,Advertising and Agencies,Client Services,Consulting,Tech,,
303,11767,,,,,,
304,1202,Engineering,Entertainment & Gaming,Media,Tech,,
305,1184,Media,Tech,,,,
306,11742,Consulting,Tech,,,,
307,11698,Media,Tech,,,,
308,11716,Engineering,Healthcare,Tech,,,
309,1142,Food & Beverage,Tech,,,,
310,11635,Advertising and Agencies,Client Services,,,,
311,560,Consumer,Tech,,,,
312,1283,,,,,,
313,1078,,,,,,
314,1309,,,,,,
315,604,Client Services,Healthcare,Tech,,,
316,1326,Client Services,Healthcare,Tech,,,
317,11642,Consumer,Food & Beverage,,,,
318,380,,,,,,
319,1327,,,,,,
320,894,,,,,,
321,702,,,,,,
322,628,,,,,,
323,804,,,,,,
324,1292,Finance,Tech,,,,
325,988,,,,,,
326,1240,Government,Law,,,,
327,954,Consumer,Healthcare,,,,
328,61,,,,,,
329,711,,,,,,
330,645,Fashion and Beauty,Tech,,,,
331,686,Entertainment & Gaming,Media,Tech,,,
332,1095,Finance,Tech,,,,
333,1068,,,,,,
334,467,,,,,,
335,362,,,,,,
336,198,,,,,,
337,46,,,,,,
338,14,,,,,,
339,18,,,,,,
340,112,,,,,,
341,80,,,,,,
342,31,Social Media,Tech,,,,
343,,,,,,,
344,,,,,,,
345,,,,,,,
346,,,,,,,
347,,,,,,,
348,,,,,,,
349,,,,,,,
350,,,,,,,
351,,,,,,,
352,,,,,,,
353,,,,,,,
354,,,,,,,
355,,,,,,,
356,,,,,,,
357,,,,,,,
358,,,,,,,
359,,,,,,,
360,,,,,,,
361,,,,,,,
362,,,,,,,
363,,,,,,,
364,,,,,,,
365,,,,,,,
366,,,,,,,
367,,,,,,,
368,,,,,,,
369,,,,,,,
370,,,,,,,
371,,,,,,,
372,,,,,,,
373,,,,,,,
374,,,,,,,
375,,,,,,,
376,,,,,,,
377,,,,,,,
378,,,,,,,
379,,,,,,,
380,,,,,,,
